date,CCI
2017-03-07,113.0637
2017-03-08,129.3185
2017-03-09,137.6264
2017-03-10,149.6995
2017-03-13,155.7475
2017-03-14,142.5518
2017-03-15,139.8371
2017-03-16,145.7603
2017-03-17,148.3548
2017-03-20,130.655
2017-03-21,86.6445
2017-03-22,57.1254
2017-03-23,1.5184
2017-03-24,-10.2395
2017-03-27,-13.6483
2017-03-28,7.9875
2017-03-29,44.8736
2017-03-30,55.035
2017-03-31,43.7039
2017-04-03,75.6334
2017-04-04,56.6931
2017-04-05,64.952
2017-04-06,38.7229
2017-04-07,6.3148
2017-04-10,12.4153
2017-04-11,-8.307
2017-04-12,-2.1124
2017-04-13,-5.5054
2017-04-17,51.3076
2017-04-18,69.005
2017-04-19,84.7675
2017-04-20,101.8726
2017-04-21,102.4981
2017-04-24,196.0133
2017-04-25,247.8463
2017-04-26,246.389
2017-04-27,244.0522
2017-04-28,405.4885
2017-05-01,365.4068
2017-05-02,349.9698
2017-05-03,338.3058
2017-05-04,327.3423
2017-05-05,287.7776
2017-05-08,267.4652
2017-05-09,243.8072
2017-05-10,210.5845
2017-05-11,192.8018
2017-05-12,182.576
2017-05-15,176.0274
2017-05-16,175.124
2017-05-17,134.5155
2017-05-18,129.6095
2017-05-19,133.9076
2017-05-22,135.0304
2017-05-23,140.2255
2017-05-24,141.0059
2017-05-25,151.9949
2017-05-26,150.0556
2017-05-30,146.3704
2017-05-31,130.7338
2017-06-01,121.6623
2017-06-02,124.0385
2017-06-05,129.9912
2017-06-06,121.6624
2017-06-07,116.7379
2017-06-08,113.657
2017-06-09,79.9749
2017-06-12,52.7965
2017-06-13,70.821
2017-06-14,67.3725
2017-06-15,47.9453
2017-06-16,47.7697
2017-06-19,68.0315
2017-06-20,64.7139
2017-06-21,66.7289
2017-06-22,66.2789
2017-06-23,70.9448
2017-06-26,65.209
2017-06-27,28.6019
2017-06-28,25.5144
2017-06-29,3.2592
2017-06-30,-8.0397
2017-07-03,-31.1825
2017-07-05,-24.7772
2017-07-06,-30.8306
2017-07-07,-17.1009
2017-07-10,-0.2997
2017-07-11,-0.6788
2017-07-12,29.173
2017-07-13,43.8668
2017-07-14,56.459
2017-07-17,56.5197
2017-07-18,74.8882
2017-07-19,97.5648
2017-07-20,92.4137
2017-07-21,90.578
2017-07-24,123.4808
2017-07-25,24.808
2017-07-26,9.7182
2017-07-27,-41.5213
2017-07-28,-34.0496
2017-07-31,-50.8921
2017-08-01,-54.6825
2017-08-02,-77.2279
2017-08-03,-78.2195
2017-08-04,-73.9186
2017-08-07,-65.9102
2017-08-08,-64.8391
2017-08-09,-91.2594
2017-08-10,-128.0637
2017-08-11,-119.4415
2017-08-14,-84.8178
2017-08-15,-79.5652
2017-08-16,-60.7767
2017-08-17,-97.3576
2017-08-18,-110.9339
2017-08-21,-118.0658
2017-08-22,-71.9877
2017-08-23,-53.966
2017-08-24,-62.1751
2017-08-25,-72.7478
2017-08-28,-85.1333
2017-08-29,-78.008
2017-08-30,-38.1907
2017-08-31,7.9172
2017-09-01,14.1869
2017-09-05,-23.9743
2017-09-06,-36.8518
2017-09-07,-9.2999
2017-09-08,-19.3876
2017-09-11,-9.8709
2017-09-12,-16.8838
2017-09-13,4.4382
2017-09-14,-26.1545
2017-09-15,-54.9941
2017-09-18,-79.0784
2017-09-19,-62.1754
2017-09-20,-5.7097
